类型,名称,出处,片段
概念,IronQ relaxivity,paper_4_39906526,位置: 前言 / chunk 0 | 证据: The r1 relaxivity of IronQ was found to be 2.17 mm⁻¹s⁻¹ in ultrapure water and 3.56 mm⁻¹s⁻¹ in whole blood.
概念,acute toxicity evaluation,paper_4_39906526,"位置: 前言 / chunk 0 | 证据: Acute toxicity was evaluated in Sprague Dawley rats following a single intravenous injection of IronQ (75, 150, and 225 µmol Fe/kg BW) over a 14-day period."
概念,IronQ dose,paper_4_39906526,"位置: 前言 / chunk 0 | 证据: single intravenous injection of IronQ (75, 150, and 225 µmol Fe/kg BW)"
概念,IronQ biodistribution,paper_4_39906526,"位置: 前言 / chunk 0 | 证据: peak blood iron content at 1.1 hours post-administration and clearance within 24 hours, particularly in the liver and kidney."
概念,IronQ theranostic agent,paper_4_39906526,"位置: Discussion / chunk 10 | 证据: IronQ demonstrates significant promise as a T₁-positive MRI contrast agent. Beyond its role in cell tracking, IronQ has shown potential as a therapeutic agent."
概念,IronQ nanoparticle characteristics,paper_4_39906526,"位置: Discussion / chunk 10 | 证据: Its nanoparticles are spherical in shape, water-soluble, and have a median size ranging from 100 to 200 nm."
关系,IronQ | reduces | inflammation,paper_4_39906526,位置: Discussion / chunk 10 | 证据: mesenchymal stem cells (MSCs) labeled with IronQ significantly reduced the inflammation induced by an intracerebral hemorrhage (ICH)
概念,IronQ relaxivity comparison,paper_4_39906526,"位置: Discussion / chunk 10 | 证据: IronQ exhibited relaxivity of 2.17 mm⁻¹s⁻¹ in ultrapure water and 3.56 mm⁻¹s⁻¹ in whole blood at 1.5T, which is slightly lower than that of several commercial gadolinium-based contrast agents."
概念,IronQ safety profile,paper_4_39906526,"位置: Discussion / chunk 11 | 证据: The acute toxicity experiments provide compelling evidence for the safety profile of IronQ. Throughout the 14-day observation period, the absence of mortality, morbidity, and significant changes in blood biochemistry was noted."
概念,IronQ histopathology,paper_4_39906526,"位置: Discussion / chunk 11 | 证据: The histopathological analysis revealed only slight changes in the lungs, livers, and kidneys of rats treated with IronQ, comparable to those observed in the control group."
概念,IronQ pharmacokinetics,paper_4_39906526,"位置: Discussion / chunk 11 | 证据: IronQ reaches peak blood iron levels approximately 1.1 hours after administration, with complete clearance within 24 hours."
概念,IronQ clearance,paper_4_39906526,"位置: Discussion / chunk 11 | 证据: IronQ is rapidly absorbed, achieving a peak plasma concentration at 1.1 hours and an elimination half-life of 8.4 hours, which minimizes the risk of prolonged exposure."
概念,IronQ organ accumulation,paper_4_39906526,位置: Discussion / chunk 11 | 证据: IronQ demonstrated uptake in the liver and kidneys. This suggests that IronQ may be excreted via both hepatic and renal pathways.
概念,IronQ imaging efficacy,paper_4_39906526,"位置: Discussion / chunk 12 | 证据: The liver and kidneys, as common sites for both primary and metastatic tumors, showed an enhanced T1 signal intensity, demonstrating IronQ’s efficacy as a contrast agent."
概念,IronQ conclusion,paper_4_39906526,位置: Conclusion / chunk 13 | 证据: IronQ has significant potential in therapeutic and imaging applications. Acute toxicity assessments indicate that IronQ is safe at doses of up to 225 µmol Fe/kg BW.
概念,allergic diseases,paper_594_39881795,位置: Introduction / chunk 0 | 证据: The prevalence of allergic diseases is rapidly increasing
概念,phytopathogenic microfungi,paper_594_39881795,"位置: Introduction / chunk 0 | 证据: phytopathogenic microfungi, which are plant parasites, are These fungi lead to widespread plant infestations"
概念,T. pruni-spinosae,paper_594_39881795,"位置: Introduction / chunk 0 | 证据: T. pruni-spinosae, which parasitizes Prunus domestica"
概念,P. rubi-idaei,paper_594_39881795,位置: Discussion / chunk 11 | 证据: we present two phytopathogenic microfungi ... and P. rubi-idaei
概念,BEAS-2B cells,paper_594_39881795,位置: Introduction / chunk 0 | 证据: using two cell model lines representing the upper (BEAS-2B)
概念,A549 cells,paper_594_39881795,位置: Discussion / chunk 12 | 证据: human lung carcinoma epithelial cells (A549)
关系,T. pruni-spinosae | induces | proinflammatory cytokines,paper_594_39881795,位置: Discussion / chunk 12 | 证据: T. pruni-spinosae induced these cytokines in both A549 and BEAS-2B cell lines
关系,P. rubi-idaei | induces | IL-1β and GM-CSF,paper_594_39881795,位置: Discussion / chunk 12 | 证据: P. rubi-idaei extract was an inducer of IL-1β and GM-CSF only in the bronchial epithelial cells (BEAS-2B line)
关系,fungal extracts | reduces | E-cadherin and occludin,paper_594_39881795,"位置: Discussion / chunk 11 | 证据: reduced the presence of E-cadherin, as evidenced by control cells. A similar observation was made in the case of ... higher concentration led to virtually complete disappearance of E-cadherin"
关系,T. pruni-spinosae | induces | ROS production,paper_594_39881795,位置: Discussion / chunk 12 | 证据: T. pruni-spinosae induced ROS production in both A549 and BEAS-2B cells
关系,fungal extracts | increases | MMP-9 levels,paper_594_39881795,位置: Discussion / chunk 12 | 证据: T. pruni-spinosae and P. rubi-idaei extracts ... only slightly increased MMP-9 levels in both A549 and BEAS-2B cells
概念,proinflammatory cytokines,paper_594_39881795,"位置: Discussion / chunk 11 | 证据: proinflammatory IL-1β and IL-6, GM-CSF (recruitment of granulocytes and monocytes), TNF-α"
概念,epithelial barrier disruption,paper_594_39881795,位置: Discussion / chunk 12 | 证据: epithelial disruption is one of the characteristics of asthma because it allows inhaled substances to pass more easily into the airway wall
关系,lower concentrations | causes | stronger inflammatory effect,paper_594_39881795,位置: Discussion / chunk 13 | 证据: the lower concentrations of the fungal extracts caused a stronger inflammatory effect in most cases
概念,gallstones (GS),paper_951_39911297,"位置: Introduction / chunk 0 | 证据: the incidence of gallstones (GS) has surged annually, evolving into a pressing global health issue."
概念,symptoms of gallstones,paper_951_39911297,"位置: Introduction / chunk 0 | 证据: gallstones suffer from pronounced abdominal symptoms such as nausea, vomiting, and biliary colic"
概念,complications of gallstones,paper_951_39911297,"位置: Introduction / chunk 0 | 证据: life-threatening complications including gangrenous cholecystitis, biliary infections, and gallbladder perforation."
概念,machine learning algorithms,paper_951_39911297,"位置: Introduction / chunk 0 | 证据: four algorithms—Logistic Regression, Gaussian Naive Bayes (GNB), multilayer perceptrons (MLPs), Support Vector Machines (SVMs)"
概念,risk factors for gallstones,paper_951_39911297,"位置: Introduction / chunk 0 | 证据: risk factors associated with gallstone formation. SHAP analysis identified RFM, weight-to-waist index (WWI), waist circumference (WC), waist-to-height ratio (WHtR), and body mass index (BMI)"
概念,relative fat mass (RFM),paper_951_39911297,位置: Introduction / chunk 0 | 证据: substantiated the link between relative fat mass (RFM) and gallstones
关系,RFM | predictor_of | gallstone occurrence,paper_951_39911297,位置: Discussion / chunk 11 | 证据: RFM emerged as the most significant predictor of gallstone occurrence.
关系,logistic regression | best_model_for | predicting gallstone risk,paper_951_39911297,位置: Discussion / chunk 10 | 证据: logistic regression achieved AUCs of 0.699 and 0.727...surpassing the other models and underscoring its robust discriminative capacity for predicting gallstone risk.
概念,high-fat and high-cholesterol diet,paper_951_39911297,"位置: Discussion / chunk 10 | 证据: Regarding dietary factors, high-fat and high-cholesterol diets significantly elevate cholesterol saturation within bile, emerging as primary contributors to gallstone formation."
关系,high-fat diet | increases | cholesterol saturation in bile,paper_951_39911297,位置: Discussion / chunk 10 | 证据: high-fat and high-cholesterol diets significantly elevate cholesterol saturation within bile
概念,cholesterol crystallization,paper_951_39911297,"位置: Discussion / chunk 11 | 证据: cholesterol in bile reaches or exceeds its saturation point...cholesterol to crystallize within the gallbladder, a process that gradually leads to gallstone development."
概念,adipose tissue inflammation,paper_951_39911297,位置: Discussion / chunk 11 | 证据: individuals with elevated RFM secrete higher amounts of inflammatory cytokines...inducing a state of low-grade chronic inflammation.
关系,chronic inflammation | disrupts | cholesterol metabolism,paper_951_39911297,"位置: Discussion / chunk 11 | 证据: This persistent inflammation disrupts cholesterol distribution and transport, as well as sustained interference with hepatic function."
概念,insulin resistance,paper_951_39911297,位置: Discussion / chunk 11 | 证据: Elevated RFM values are frequently linked to insulin resistance and metabolic syndrome.
关系,insulin resistance | linked_to | gallstone formation,paper_951_39911297,"位置: Discussion / chunk 11 | 证据: metabolic diseases, particularly diabetes, exert a profound influence on gallstone formation."
关系,elevated insulin | stimulates | hepatic cholesterol synthesis,paper_951_39911297,"位置: Discussion / chunk 12 | 证据: Elevated insulin levels stimulate hepatic cholesterol synthesis, resulting in an increased accumulation of cholesterol in bile."
概念,non-alcoholic fatty liver disease (NAFLD),paper_951_39911297,位置: Discussion / chunk 12 | 证据: contributing to the onset of non-alcoholic fatty liver disease (NAFLD).
关系,"high RFM | increases_risk_of | cardiovascular disease, diabetes, chronic kidney disease",paper_951_39911297,"位置: Discussion / chunk 12 | 证据: The heightened cholesterol and fat accumulation associated with high RFM values substantially raises the risk of cardiovascular disease, diabetes, and chronic kidney disease"
概念,machine learning prediction model,paper_951_39911297,位置: Conclusion / chunk 14 | 证据: By developing a machine learning-based prediction model...advancing the development of personalized treatment.
概念,癌症干细胞 (CSCs),paper_719_39861713,"位置: 前言 / chunk 0 | 证据: Cancer stem cells (CSCs), with their self-renewal capabilities and pivotal roles in tumor recurrence and metastasis, present a major challenge in cancer therapy."
概念,OLFM4,paper_719_39861713,"位置: 前言 / chunk 0 | 证据: OLFM4 is overexpressed in many tumor tissues compared to normal counterparts, making it an attractive target for immunotherapy."
概念,树突状细胞 (DC) 疫苗,paper_719_39861713,位置: 前言 / chunk 0 | 证据: Among the most promising immunotherapeutic strategies are dendritic cell (DC) vaccines.
概念,机械高强度聚焦超声 (M-HIFU),paper_719_39861713,"位置: 前言 / chunk 0 | 证据: M-HIFU uses lower energy to cause mechanical disruption of tumor cells through cavitation, where microbubbles within the tissue burst and induce cellular damage."
概念,免疫原性细胞死亡 (ICD),paper_719_39861713,"位置: 前言 / chunk 1 | 证据: This process, known as immunogenic cell death, releases damage-associated molecular patterns that attract immune cells."
关系,OLFM4 | 是_靶点 | 癌症干细胞 (CSCs),paper_719_39861713,"位置: 前言 / chunk 0 | 证据: OLFM4, a CSC marker linked to immune evasion, making it an attractive target for DC vaccines."
关系,M-HIFU | 诱导 | 免疫原性细胞死亡 (ICD),paper_719_39861713,"位置: 前言 / chunk 1 | 证据: M-HIFU causes mechanical damage that exposes concealed tumor antigens, creating an immune-stimulatory environment. This process is known as immunogenic cell death."
关系,M-HIFU | 增加 | CCL19/CCL21 表达,paper_719_39861713,位置: Discussion / chunk 11 | 证据: M-HIFU plays a critical role in modulating the TME to enhance the efficacy of DC vaccines. By increasing the expression of migration factors such as CCL19 and CCL21.
关系,CCL19/CCL21 | 促进 | 树突状细胞 (DC) 迁移,paper_719_39861713,位置: Discussion / chunk 12 | 证据: M-HIFU creates a TME that promotes DC migration by enhancing the expression of chemokines such as CCL19 and CCL21. This improved environment facilitates the movement of DCs.
关系,M-HIFU + DC疫苗 | 抑制 | 肿瘤生长,paper_719_39861713,位置: 前言 / chunk 0 | 证据: The combination of M-HIFU and DC vaccine significantly inhibited tumor growth and metastasis.
概念,CCL19/CCL21-CCR7 轴,paper_719_39861713,"位置: Discussion / chunk 11 | 证据: The CCL19/CCL21-CCR7 axis is crucial for promoting the infiltration of immune cells, including DCs and T cells, into tumor sites."
关系,OLFM4 | 表达_变化_因_癌症类型 | 预后,paper_719_39861713,"位置: 前言 / chunk 1 | 证据: Notably, the prognostic implications of OLFM4 vary by cancer type; for instance, reduced OLFM4 expression correlates with prostate cancer progression, whereas elevated expression is associated with poorer outcomes in pancreatic cancer."
概念,热高强度聚焦超声 (T-HIFU),paper_719_39861713,"位置: Discussion / chunk 11 | 证据: T-HIFU induces coagulative necrosis through localized heating, leading to the controlled release of tumor antigens."
关系,M-HIFU | 优于 | T-HIFU (免疫反应),paper_719_39861713,位置: Discussion / chunk 11 | 证据: M-HIFU promotes a more robust immunological response through mechanical disruption and cavitation effects... These features highlight the unique advantages of M-HIFU over T-HIFU in amplifying immune responses.
概念,慢性阻塞性肺疾病 (COPD),paper_609_39867990,位置: 前言 / chunk 0 | 证据: Chronic obstructive pulmonary disease (COPD) is a long-term respiratory condition marked by enduring airflow obstruction
概念,维生素D缺乏,paper_609_39867990,位置: 前言 / chunk 0 | 证据: Vitamin D deficiency has been linked to impaired lung function and increased susceptibility to respiratory infections
概念,严重急性加重 (severe acute exacerbation),paper_609_39867990,位置: 前言 / chunk 0 | 证据: Severe exacerbation was defined when the patient required hospitalization or emergency department visit
关系,维生素D缺乏 | 增加风险 | 严重AECOPD,paper_609_39867990,位置: 前言 / chunk 0 | 证据: severe vitamin D deficiency was significantly associated with an increased risk of severe exacerbation
概念,维生素D水平分类,paper_609_39867990,"位置: 前言 / chunk 0 | 证据: serum 25-hydroxyvitamin D levels: severe deficiency (<10 ng/mL), deficiency (10-20 ng/mL), insufficiency (20-30 ng/mL), sufficiency (>30 ng/mL)"
概念,吸烟,paper_609_39867990,"位置: Discussion / chunk 5 | 证据: smoking, which is a common risk factor for COPD, has been linked to lower vitamin D levels"
概念,年龄,paper_609_39867990,"位置: Discussion / chunk 5 | 证据: older age, common in COPD patients, is associated with reduced vitamin D synthesis"
概念,营养缺乏,paper_609_39867990,"位置: Discussion / chunk 5 | 证据: nutritional deficiencies, particularly inadequate dietary intake, play a significant role"
概念,免疫调节,paper_609_39867990,位置: 前言 / chunk 0 | 证据: Vitamin D has garnered attention for its immunomodulatory and anti-inflammatory properties
概念,抗菌肽,paper_609_39867990,位置: 前言 / chunk 0 | 证据: vitamin D exerts its effects by regulating the production of antimicrobial peptides such as cathelicidin
关系,维生素D | 增强 | 先天免疫,paper_609_39867990,位置: Discussion / chunk 5 | 证据: Vitamin D has been shown to enhance innate immunity by promoting antimicrobial peptides
关系,维生素D缺乏 | 导致 | 呼吸道感染易感性增加,paper_609_39867990,"位置: Discussion / chunk 5 | 证据: Deficiency may impair these defenses, leading to a higher susceptibility to respiratory infections"
概念,多变量Cox回归,paper_609_39867990,位置: 前言 / chunk 0 | 证据: Multivariate Cox regression was used to evaluate the association
概念,GOLD分期,paper_609_39867990,"位置: Discussion / chunk 5 | 证据: adjusted for ... GOLD stage, GOLD group"
概念,吸入疗法,paper_609_39867990,位置: Discussion / chunk 5 | 证据: adjusted for ... inhalation therapies used
概念,合并症,paper_609_39867990,位置: Discussion / chunk 5 | 证据: adjusted for ... comorbidities
关系,管理维生素D水平 | 可能减轻 | 疾病严重性,paper_609_39867990,位置: Discussion / chunk 5 | 证据: managing vitamin D levels in COPD patients to potentially mitigate exacerbation severity
概念,IMPASSIVE DICTATING,paper_590_39886039,位置: 前言 / chunk 0 / page 2 | 证据: we propose a new acronym: IMPASSIVE DICTATING
概念,VINDICATE,paper_590_39886039,位置: 前言 / chunk 0 / page 2 | 证据: pathophysiology-based acronyms like VINDICATE
概念,VITAMINS ABCDEK,paper_590_39886039,位置: 前言 / chunk 0 / page 2 | 证据: pathophysiology-based acronyms like VINDICATE and VITAMINS ABCDEK
关系,IMPASSIVE DICTATING | is_mnemonic_for | differential diagnosis,paper_590_39886039,位置: 前言 / chunk 0 / page 2 | 证据: acronym for disease mechanisms that may contribute to the patient's differential diagnoses
概念,fever,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Patient presenting with chief concerns of Fever
概念,chest pain,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Patient presenting with chief concerns of ... Chest pain
概念,altered mental status,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Patient presenting with chief concerns of ... Altered Mental Status (AMS)
关系,"IMPASSIVE DICTATING | applied_to | fever, chest pain, altered mental status",paper_590_39886039,"位置: Discussion / chunk 3 / pages 4-5 | 证据: applied to three common presentations (fever, chest pain, and altered mental status)"
概念,MIS-A,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Immune: MIS-A
概念,gout,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Metabolic: Gout
概念,hypokalemia,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Metabolic: ... Hypokalemia causing ventricular tachycardia
概念,psychogenic fever,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Psychiatric: Psychogenic fever
概念,serum sickness,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Allergic: Serum sickness
概念,urinary tract infection,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Infectious: Urinary tract infection
概念,hemorrhagic stroke,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Vascular: Hemorrhagic stroke
概念,hyperthyroidism,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Endocrine/Exocrine: Hyperthyroidism
概念,rhabdomyolysis,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Degenerative: Rhabdomyolysis
概念,neuroleptic malignant syndrome,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Iatrogenic: Neuroleptic malignant syndrome
概念,sickle cell disease,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Congenital: Sickle cell disease
概念,burn injury,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Traumatic: Burn injury
概念,systemic lupus erythematosus,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Autoimmune: Systemic lupus erythematous
概念,salicylate poisoning,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Toxic: Salicylate poisoning
概念,fever of unknown origin,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Idiopathic: Fever of unknown origin
概念,chronic lymphocytic leukemia,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Neoplastic: Chronic lymphocytic leukemia
概念,familial Mediterranean fever,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: Fever - Genetic: Familial Mediterranean fever
关系,IMPASSIVE DICTATING | has_advantage_over | VINDICATE/VITAMINS ABCDEK,paper_590_39886039,位置: Discussion / chunk 4 / pages 4-5 | 证据: IMPASSIVE DICTATING offers several improvements over other pathophysiology-based acronyms like VINDICATE and VITAMINS ABCDEK
关系,IMPASSIVE DICTATING | useful_for | preclinical students,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: this acronym may also be useful for preclinical students and reinforce basic knowledge
关系,IMPASSIVE DICTATING | promotes | understanding of disease mechanisms,paper_590_39886039,位置: Discussion / chunk 3 / pages 4-5 | 证据: focus on pathophysiology promotes a basic understanding of disease mechanisms
概念,MIST,paper_590_39886039,"位置: Discussion / chunk 3 / pages 4-5 | 证据: For example, MIST (ie, metabolic, infectious, structural, toxic)"
关系,MIST | derived_from | IMPASSIVE DICTATING,paper_590_39886039,"位置: Discussion / chunk 3 / pages 4-5 | 证据: IMPASSIVE DICTATING can also be used to create shorter, clinically convenient mnemonics"
关系,IMPASSIVE DICTATING | has_utility_in | educational contexts,paper_590_39886039,"位置: Discussion / chunk 3 / pages 4-5 | 证据: IMPASSIVE DICTATING may have utility in educational contexts, such as presenting a case report or teaching students"
概念,ultrasound-guided nerve blocks,paper_242_39867533,位置: Introduction / chunk 0 | 证据: The adoption of ultrasound-guided methods have increasingly been adopted to enhance the precision and safety of nerve blocks.
概念,fracture surgeries,paper_242_39867533,"位置: Introduction / chunk 0 | 证据: Fracture surgeries invariably involve intense pain, necessitating efficacious pain management strategies."
概念,postoperative pain,paper_242_39867533,"位置: Introduction / chunk 0 | 证据: This approach helps manage pain during and after surgery, improves patient comfort, and supports faster recovery."
关系,ultrasound-guided nerve blocks | improves | precision and safety,paper_242_39867533,位置: Introduction / chunk 0 | 证据: The adoption of ultrasound-guided methods have increasingly been adopted to enhance the precision and safety of nerve blocks.
关系,ultrasound-guided nerve blocks | reduces | dosage of anesthetics,paper_242_39867533,位置: Introduction / chunk 0 | 证据: This precision reduces both the required dosage of anesthetics and the risk of complications.
概念,shoulder and upper limb fractures,paper_242_39867533,"位置: Conclusion and Perspective / chunk 11 | 证据: In managing shoulder and upper limb fractures, the use of interscalene, supraclavicular, infraclavicular, and axillary blocks has markedly enhanced the scope and efficacy of regional anesthesia."
概念,thoracic and lumbar fractures,paper_242_39867533,"位置: Conclusion and Perspective / chunk 11 | 证据: For thoracic and lumbar fractures, the Thoracolumbar Interfascial Plane (TLIP) and Erector Spinae Plane (ESPB) blocks stand out for their extensive coverage and deep penetration of anesthesia."
概念,emergency medicine,paper_242_39867533,"位置: Conclusion and Perspective / chunk 11 | 证据: In emergency medicine, where rapid and effective pain management is essential, supraclavicular and infraclavicular blocks, along with ESPB blocks, are frequently utilized."
关系,ultrasound-guided techniques | improves | postoperative outcomes,paper_242_39867533,"位置: Conclusion and Perspective / chunk 11 | 证据: Employing ultrasound-guided techniques has catalyzed a significant shift towards more precise, effective, and safe anesthesia practices. This has improved postoperative outcomes through targeted analgesia."
关系,tailored anesthesia approach | enhances | patient recovery,paper_242_39867533,位置: Conclusion and Perspective / chunk 11 | 证据: This tailored approach to anesthesia for fractures across different anatomical regions not only ensures effective pain management but also supports faster and safer recovery.
概念,future of regional anesthesia,paper_242_39867533,"位置: Conclusion and Perspective / chunk 11 | 证据: As we look to the future, the trajectory of regional anesthesia is poised to leverage the ever-evolving ultrasonography technology to further enhance the precision and efficacy of nerve blocks."
关系,integration of regional anesthesia | reduces | opioid dependency,paper_242_39867533,位置: Conclusion and Perspective / chunk 11 | 证据: The ongoing integration of these advanced regional anesthesia techniques into multimodal analgesia strategies is set to revolutionize pain management... This progression will likely lead to a significant reduction in opioid dependency.
概念,慢性疾病,paper_458_39866673,位置: 前言 / chunk 0 / page 2 | 证据: Chronic diseases have become a leading issue in healthcare
概念,治疗不依从性,paper_458_39866673,位置: 前言 / chunk 0 / page 2 | 证据: increasing the importance of treatment adherence to ... the prevalence and characteristics of nonadherence
概念,心血管疾病,paper_458_39866673,位置: Discussion / chunk 6 / pages 9-10 | 证据: cardiovascular problems and hypertension had the highest prevalence rates among chronic diseases
概念,高血压,paper_458_39866673,位置: Discussion / chunk 6 / pages 9-10 | 证据: cardiovascular problems and hypertension had the highest prevalence rates among chronic diseases
概念,结核病,paper_458_39866673,位置: 前言 / chunk 0 / page 2 | 证据: tuberculosis (59.8%)
概念,消化系统疾病,paper_458_39866673,位置: 前言 / chunk 0 / page 2 | 证据: digestive diseases (57.9%)
概念,其他肺部疾病,paper_458_39866673,位置: 前言 / chunk 0 / page 2 | 证据: other lung diseases
关系,慢性疾病患者 | 治疗不依从性比例 | 57%,paper_458_39866673,位置: Discussion / chunk 6 / pages 9-10 | 证据: The study demonstrated that 57% of patients with chronic diseases were nonadherent to treatment
关系,治疗不依从性 | 相关因素 | 年龄(15-65岁),paper_458_39866673,位置: Discussion / chunk 6 / pages 9-10 | 证据: subjects aged 15 to 65 years are more likely to be nonadherent to treatment compared with those aged > 65 years
关系,治疗不依从性 | 相关因素 | 农村居住,paper_458_39866673,位置: Discussion / chunk 6 / pages 9-10 | 证据: living in rural areas was associated with treatment nonadherence
关系,治疗不依从性 | 相关因素 | 正式教育背景,paper_458_39866673,位置: Discussion / chunk 6 / pages 9-10 | 证据: subjects with a formal education background ... were significantly associated with treatment nonadherence
关系,治疗不依从性 | 相关因素 | 家庭规模(2-6人),paper_458_39866673,位置: Discussion / chunk 6 / pages 9-10 | 证据: having two to six family members was associated with treatment nonadherence compared with a household size of more than six
关系,治疗不依从性 | 相关因素 | 积极健康感知,paper_458_39866673,位置: Discussion / chunk 6 / pages 9-10 | 证据: subjects with a positive perception of their health condition ... were less adherent to treatment
关系,治疗不依从性 | 相关因素 | 吸烟者,paper_458_39866673,位置: Discussion / chunk 7 / pages 9-10 | 证据: subjects who smoked had the highest probability of treatment nonadherence
关系,治疗不依从性 | 相关因素 | 无抑郁症状,paper_458_39866673,位置: Discussion / chunk 7 / pages 9-10 | 证据: subjects without depressive symptoms ... were associated with treatment nonadherence
关系,治疗不依从性 | 相关因素 | 单一慢性疾病,paper_458_39866673,位置: Discussion / chunk 7 / pages 9-10 | 证据: subjects ... with only one chronic disease were identified as the associated characteristics for treatment nonadherence
概念,印度尼西亚家庭生活调查,paper_458_39866673,"位置: Discussion / chunk 8 / pages 9-10 | 证据: based on the IFLS survey, a large population-based study representing 83% of the Indonesian population"
概念,世界卫生组织多维框架,paper_458_39866673,位置: 前言 / chunk 0 / page 2 | 证据: factors related to the World Health Organization Multidimensional
概念,HR+/HER2- breast cancer,paper_418_39877556,位置: Introduction / chunk 0 | 证据: Hormone receptor-positive (HR+) and human epidermal growth factor receptor 2-negative (HER2-) (HR+/HER2-) breast cancer represents the most common type of breast cancer
概念,endocrine resistance,paper_418_39877556,位置: Introduction / chunk 0 | 证据: A challenge that arises in clinical practice is that such a population of patients inevitably develops endocrine resistance to ET.
概念,everolimus,paper_418_39877556,位置: Introduction / chunk 0 | 证据: The combination of ET and targeted therapy has emerged as a promising option for patients with HR+/HER2- breast cancer
概念,NOLUS (non-luminal disease score),paper_418_39877556,位置: Introduction / chunk 0 | 证据: non-luminal disease score (NOLUS) for everolimus in patients with hormone receptor-positive and HER2-negative (HR+/HER2-) advanced breast cancer (ABC).
关系,NOLUS | calculation_formula | -0.45×ER(%) -0.28×PR(%) +0.27×Ki67(%),paper_418_39877556,位置: Introduction / chunk 0 | 证据: NOLUS (0–100) = − 0.45 × ER(%) − 0.28 × PR(%) + 0.27 × Ki67(%)
概念,HER2-enriched phenotype,paper_418_39877556,位置: Discussion / chunk 5 | 证据: the incidence of the HER2-enriched phenotype within HR+/HER2- ABC was as high as 22%.
关系,NOLUS-positive patients | have_lower_expression | ER and PR,paper_418_39877556,"位置: Discussion / chunk 5 | 证据: NOLUS-positive patients with non-luminal breast tumors have lower expression rates of ER and PR, and higher levels of Ki67 index in IHC."
关系,NOLUS-positive patients | have_higher_expression | Ki67,paper_418_39877556,"位置: Discussion / chunk 5 | 证据: NOLUS-positive patients with non-luminal breast tumors have lower expression rates of ER and PR, and higher levels of Ki67 index in IHC."
关系,RPTOR expression | positively_correlated_with | ESR1 expression,paper_418_39877556,"位置: Discussion / chunk 5 | 证据: we found that the expression of RPTOR was significantly, and positively correlated with the expression of ESR1, and activated the ER pathway."
关系,RPTOR | encodes | mTORC1,paper_418_39877556,"位置: Discussion / chunk 5 | 证据: RPTOR is a principal gene for encoding mTORC1, whose upregulation enhances the activity of the ER pathway"
关系,mTORC1 activation | promotes | drug resistance to ET,paper_418_39877556,"位置: Discussion / chunk 6 | 证据: activating mTORC1 expression, and consequently promotes drug resistance of breast tumors to ET. It contributes to one of the important mechanisms of endocrine resistance."
关系,everolimus | blocks | mTORC1,paper_418_39877556,"位置: Discussion / chunk 6 | 证据: Drugs blocking mTORC1, like everolimus, have been demonstrated to exert anti-cancer effects and to maintain sensitivity to endocrine drugs in breast tumor cells."
概念,BOLERO-2 study,paper_418_39877556,位置: Discussion / chunk 6 | 证据: One of the most prominent studies for everolimus in HR+/HER2- breast tumors is the BOLERO-2 study.
关系,everolimus plus exemestane | improves | survival outcomes,paper_418_39877556,位置: Discussion / chunk 6 | 证据: It showed that everolimus plus exemestane therapy significantly improved drug responses and survival outcomes of patients with HR+/HER2- ABC.
关系,NOLUS-positive patients | median_PFS | 6.0 months,paper_418_39877556,"位置: Discussion / chunk 6 | 证据: Outcomes ... Progression-free survival (PFS) Median (95% CI, months) ... NOLUS-Positive: 6.0 (4.6,7.4)"
关系,NOLUS-negative patients | median_PFS | 5.4 months,paper_418_39877556,"位置: Discussion / chunk 6 | 证据: Outcomes ... Progression-free survival (PFS) Median (95% CI, months) ... NOLUS-Negative: 5.4 (4.0, 6.9)"
关系,NOLUS-positive patients | clinical_benefit_rate | 64.5%,paper_418_39877556,位置: Discussion / chunk 6 | 证据: Clinical benefit rate ... NOLUS-Positive: 20(64.5%)
